ID,EUR,USD,CHF,JPY
162,4.18475,3.72145,3.84625,3.3701
163,4.2295,3.7083,3.87225,3.3128
164,4.2561,3.60995,3.7413,3.2774
165,4.24845,3.5734,3.7184,3.2414
166,4.30785,3.64395,3.7661,3.2439
167,4.23905,3.63885,3.6506,3.2254
168,4.2005,3.52285,3.58755,3.1637
169,4.1725,3.4748,3.5658,3.0913
170,4.1511,3.3322,3.5846,3.0644
171,4.1794,3.42675,3.6259,3.1926
172,4.2126,3.4253,3.57695,3.2149
173,4.23325,3.50375,3.5394,3.1897
174,4.3187,3.69975,3.7634,3.4245
175,4.37125,3.74395,3.7704,3.3808
176,4.2785,3.65665,3.6936,3.2707
177,4.2822,3.68045,3.80555,3.3225
178,4.28145,3.6861,3.7737,3.2403
